berita,label
"Beredar di media sosial mengenai foto-foto tubuh manusia yang terbakar. Oleh penyebarnya, foto tersebut diklaim sebagai muslim Rohingya Myanmar yang dibakar hidup-hidup.",1
Telah beredar informasi di media sosial mengenai video yang memperlihatkan suplemen sintetis yang terbakar saat dipanggang didalam oven.,1
"Beredar sebuah pemberitaan terkait kabar meninggalnya seorang gadis bernama Noa Pothoven, seorang gadis berumur 17 tahun asal Arnhem, Belanda yang disebutkan meninggal dengan cara di-eutanasia atau disuntik mati karena mengalami Trauma akibat mengalami Pelecehan seksual pada umur 14 dan 17 tahun.",1
Telah beredar informasi di media sosial mengenai keju olahan yang mengandung bahan kimia akan sulit untuk melelah dibanding dengan keju asli tanpa bahan kimia. Terlihat di gambar yang disertakan bahwa keju dengan bahan kimia tidak meleleh dan menjadi hitam saat dibakar.,1
"Beredar di media sosial pada platform Facebook memuat unggahan yang inti pesannya, KPU sedang mengalami kepanikan karena data BPN, TNI, PKS, IPB & ITB semua memenangkan 02.",1
"Beredar Informasi di media sosial ""Bendungan Benangan Jebol Di Samarinda"", dan berdampak Banjir.",1
Beredar luas di media sosial foto posko perlawanan kebangkitan PKI yang disebut berada di daerah Glodok.,1
Telah beredar postingan di media sosial pada platform facebook yang memberikan informasi makan gratis di sepanjang jalan Perusahaan Rokok (PR) Sukun.,1
Telah beredar postingan di media sosial facebook tentang acara konferensi khilafah dengan memakai logo NU warga Nahdliyin rindu khilafah.,1
"Faktanya setelah ditelusuri hasil audit lembaga independen yang ditunjuk KPU untuk mengaudit laporan dana kampanye paslon di Pilpres 2019 tidak ada sumbangan dari pasangan calon, termasuk Jokowi.Komisioner Bawaslu Fritz Edward Siregar mengatakan, Bawaslu tidak menemukan adanya sumbangan dana kampanye dari Jokowi maupun Ma'ruf.""BW dan kawan-kawan pengacara 02 itu tak baca detail mengenai itu semua. Sampai mengatakan itu, sudah hoaks juga itu. Pak Jokowi itu tidak ada nyumbang. Itu hoaks itu,"" ujar Arya.",1
"Beredar informasi di salah satu media online yang memuat judul “Warga Takbiran di Usir Polisi, Gubernur Sumut Marah Besar: Kau Larang Lah, Kusumbat Mulutmu Pakai Granat”.",1
"Sebuah tangkapan layar berisi chat seorang driver ojek online di Cilacap, Jawa Tengah, yang mendapat order dari seseorang yang diduga narapidana (napi) di Pulau Nusakambangan, viral di media sosial.",1
"Beredar di media sosial Facebook sebuah kabar dan video penangkapan pelaku penculikan anak dalam karung di Bekasi, dalam postingan tersebut diceritakan juga  kronologis kejadian hingga pelaku berhasil ditangkap.",1
"Beredar sebuah informasi melalui media sosial Facebook dan juga pesan berantai Whatsapp bahwa seorang wanita telah menjadi korban kejahatan di wilayah Tanah Pasir, Kabupaten Aceh Utara. Menurut pesan yang beredar, seorang wanita telah menjadi korban kejahatan dan dibuang dari mobil Xenia.",1
Beredar sebuah postingan di media sosial Facebook sebuah klaim yang menyatakan bahwa mantan Komisioner KPU Wahyu Setiawan adalah keturunan PKI. Dalam postingan tersebut disebutkan bahwa Wahyu Setiawan adalah cucu dari Semaun gembong PKI.,1
Beredar sebuah surat yang mengatasnamakan Badan Nasional Penanggulangan Bencana (BNPB). Surat tersebut berisi mengenai kegiatan normalisasi sungai Wanggu Konawe Selatan dan Hulu Kendari Provinsi Sulawesi Tenggara.,1
"Telah beredar informasi di media sosial mengenai uji coba tilang e-CCTV di Kota Salatiga yang akan dimulai pada Senin, 13 Januari 2020.",1
Telah beredar sebuah postingan di media sosial yang mengatakan bahwa jalan Daan Mogot amblas. Anies berbohong karena sempat mengatakan bahwa Jakarta beruntung tidak ada longsor.,1
"Telah beredar sebuah pesan berantai WhatsApp sebuah video yang diklaim sebagai aksi demonstrasi penolakan Undang-Undang Omnibus Law Cipta Kerja. Dalam video tersebut memperlihatkan kerumunan Polisi saling dorong dengan sejumlah orang menggunakan pakaian sipil. Kemudian, ada yang melempar cairan ke arah kerumunan tersebut setelah itu muncul kobaran api dan membakar Polisi yang ada di kerumunan.",1
"Beredar sebuah unggahan video yang menampilkan adanya tindakan kekerasan di ruangan perawatan dengan disertai narasi yang menyebutkan parat Kepolisian melakukan pemukulan terhadap mahasiswa yang sedang menjalani perawatan, unggahan tersebut di posting pada 9 Oktober 2020.",1
